customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnVal,gender,SeniorCitizen,Partner,Dependents
7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0,Female,0,Yes,No
5575-GNVDE,34,Yes,One year,No,Mailed check,56.95,1889.5,0,0,Male,0,No,No
7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,0,Male,0,No,No
1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0,Male,0,No,Yes
6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,301.9,0,0,Female,0,No,No
6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,0,0,Male,0,No,Yes
9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,0,0,Male,0,Yes,Yes
7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95,326.8,0,0,Male,0,No,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,0,Male,0,Yes,No
5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0,Male,0,No,No
3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0,Female,0,Yes,Yes
8191-XWSZG,52,Yes,One year,No,Mailed check,20.65,1022.95,0,0,Female,0,No,No
9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,0,Male,0,No,Yes
4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0,Female,0,No,No
1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25,0,0,Male,0,Yes,No
3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0,Female,0,Yes,No
6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0,Male,0,Yes,Yes
6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0,Female,0,No,No
5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0,Male,0,Yes,No
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0,Female,1,Yes,No
4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0,Male,1,Yes,No
6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15,1874.45,0,0,Female,0,Yes,Yes
7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,Male,0,No,No
3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,Male,1,No,No
6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0,Female,0,Yes,Yes
6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0,Female,0,No,No
8865-TNMNX,10,Yes,One year,No,Mailed check,49.55,475.7,0,0,Male,0,Yes,Yes
9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0,Female,0,Yes,Yes
9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,418.25,0,0,Female,0,Yes,Yes
4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0,Female,0,No,No
4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,0,0,Female,0,Yes,No
3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0,Female,0,No,No
5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,97,0,0,Male,0,No,No
7639-LIAYI,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0,Male,0,No,No
2954-PIBKO,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0,Female,0,Yes,Yes
8012-SOUDQ,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0,Female,1,No,No
6575-SUVOI,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0,Female,1,Yes,No
4667-QONEA,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0,Female,1,Yes,Yes
8769-KKTPH,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0,Female,0,Yes,Yes
5067-XJQFU,66,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0,Male,1,Yes,Yes
3957-SQXML,34,Yes,Two year,No,Credit card (automatic),24.95,894.3,0,0,Female,0,Yes,Yes
5954-BDFSG,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0,Female,0,No,No
0434-CSFON,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0,Female,0,Yes,No
1215-FIGMP,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0,Male,0,No,No
0526-SXDJP,72,No,Two year,No,Bank transfer (automatic),42.1,2962,0,0,Male,0,Yes,No
